X Targetposition, Y Targetposition,Z Targetposition,X Targetrotation,Y Targetrotation,Z Targetrotation,X Rotation,Y Rotation,Z Rotation,X position,Y position,Z position,FramesFromStart,TimeFromStart,VIMS Scale,VIMS Count,ISwait
70.56199,-3.48381,53.39001,-0.01801744,-0.3936705,-0.007266076,-0.1226428,-0.8025224,0.1081447,66.13244,-2.05186,58.2064,480,12.54,0,0,False
74.24123,-2.935496,53.86072,0.0190637,-0.4359456,0.01026589,-0.1134168,-0.823791,0.101642,69.40351,-2.049953,58.20242,495,12.87,0,0,False
78.14799,-2.364013,54.82345,0.05502554,-0.5092407,0.03374653,-0.1134333,-0.8304796,0.1008287,72.73373,-2.050097,58.20267,510,13.2,0,0,False
81.68353,-1.755141,55.71598,0.08942109,-0.5814484,0.06520361,-0.1091727,-0.8358348,0.1028132,75.9119,-2.049707,57.95819,525,13.53,0,0,False
80.65897,-1.16941,50.60746,0.1395629,-0.4388665,0.06910679,-0.08100934,-0.9347565,0.1145758,76.05235,-2.047568,54.3859,540,13.86,0,0,False
80.26321,-0.6671281,46.98446,0.1788045,-0.3965399,0.07828592,-0.04217102,-0.9568576,0.09040166,76.11746,-2.042133,50.92312,555,14.19,0,0,False
80.328,-0.3182795,44.05301,0.2035016,-0.4037468,0.09163529,0.01261447,-0.9567993,0.04174908,76.17047,-2.032872,47.71668,569,14.52,0,0,False
80.52515,-0.08718181,41.01412,0.2180828,-0.4236201,0.1050121,0.04733076,-0.9517735,-0.01867741,76.23737,-2.023264,44.33844,584,14.85,0,0,False
80.64861,0.02331233,37.79935,0.2249775,-0.4313796,0.1116849,0.06989715,-0.9286078,-0.063531,76.32203,-2.015978,40.98021,599,15.18,0,0,False
80.50813,0.03240275,34.26119,0.2288536,-0.4036128,0.1053268,0.08051945,-0.9170772,-0.1013598,76.40438,-2.011487,37.72612,615,15.51,0,0,False
79.07983,-0.07713866,29.89973,0.2332279,-0.2680911,0.06777245,0.06466617,-0.9393548,-0.09475292,76.23736,-2.013224,34.52737,630,15.84,0,0,False
70.13305,-0.3412027,29.34982,0.2164191,0.2061912,-0.04633452,0.03459144,-0.99349,-0.07135412,72.62851,-2.017764,34.37163,645,16.17,0,0,False
63.83711,-0.7226598,32.32812,0.1592942,0.5393443,-0.1049929,0.01504657,-0.9256675,-0.04343124,69.35255,-2.021523,34.35734,659,16.5,0,0,False
59.8958,-1.202002,35.85468,0.09765927,0.758301,-0.1180455,0.01429085,-0.8082612,-0.03429816,65.89179,-2.023074,34.37182,674,16.83,0,0,False
57.23309,-1.694737,37.89515,0.05733125,0.8591919,-0.1000128,0.009722813,-0.6568903,-0.02393083,62.56711,-2.025299,34.38125,688,17.16,0,0,False
54.19052,-2.266513,38.50087,0.03223263,0.8888595,-0.0642637,0.0306327,-0.5172521,-0.03253331,59.2084,-2.027839,34.37485,702,17.49,0,0,False
50.5722,-2.852574,38.26412,0.01233998,0.8818195,-0.02497726,0.06821936,-0.4935471,-0.0191348,55.77186,-2.034158,34.3395,717,17.82,0,0,False
47.04146,-3.398315,37.50208,-0.007699635,0.8512468,0.01054913,0.1000475,-0.521296,0.01931329,52.6445,-2.040998,34.28947,729,18.15,0,0,False
43.21864,-4.024962,36.14771,-0.0370831,0.7913489,0.04722055,0.1028153,-0.5933607,0.07778282,49.24691,-2.046305,34.21938,744,18.48,0,0,False
39.71014,-4.654841,34.42059,-0.07593518,0.7048997,0.07638705,0.08020266,-0.6940497,0.1363519,45.84176,-2.050389,34.13247,759,18.81,0,0,False
36.7837,-5.187691,32.73389,-0.1171204,0.6056751,0.09149575,0.08137859,-0.7743551,0.1584026,42.56956,-2.054769,34.05477,773,19.14,0,0,False
38.00927,-5.576702,27.26204,-0.1689218,0.3202341,0.05916852,0.03487511,-0.9251631,0.1478447,41.61835,-2.051595,31.76697,788,19.47,0,0,False
41.62725,-5.829746,22.68367,-0.1989859,0.01346752,0.003538348,-0.01501565,-0.9836053,0.1679027,41.77717,-2.05454,28.33908,803,19.8,0,0,False
